#장르	랭크	수치	텍스트
#배 상태			
9	4	0	스스로의 힘으로 살겠어. 잘 있어라.
9	4	0	배고파. 사냥하러 간다. 안 돌아올 거야.
9	4	0	혹독한 취급에 견딜 수 없습니다. 도망가겠어요.
9	4	0	밥을 안주는 길드에는 볼일이 없어요. 안녕.
9	6	0	안녕. 어리석은 길드원이여.
9	6	0	이젠 만날 일도 없겠지요. 몹쓸 길드였습니다.
9	6	0	당신들은 몹쓸 사람들이었어요.
9	6	0	안녕. 어리석은 사람들.
#유언			수명을 다했을 때 게시판에 적는 대사
10	0	0	안녕. 당신들 길드에 행운을.
10	0	0	안녕. 또 언젠가 다음 차원에서.
10	0	0	안녕. 당신들에게 행운을.
10	0	0	안녕. 행운의 바람이 모두에게.
10	0	0	안녕히. 그대들에게 행운이 있기를.
10	0	0	안녕히. 내 길동무들이여.
10	0	0	양부모님 수고하셨습니다. 언젠가 다시 만날 일도 있겠지요.
10	0	0	그럼 또 보자구.
#대왕생한 경우의 대사는 패스워드로서 이벤트의 동기가 된다.			
#탁란관			
11	0	0	방은 폐쇄합니다.
#20040806이후 추가분.（상용에의 추가는 상황을 본 후）			
#떠날 때 대사	（길몬 사이즈）		성장 못하고 도망갈 때 게시판에 적는 대사
12	1	0	좋아하는 것을 좀더 먹고 싶었어 쿠냥.
12	1	0	좋아하는 것을 먹여주지 않았어 큐냥.
12	1	0	좋아하는 것을 더 많이 주는 곳으로 갈쿠냥.
12	1	0	좀더 좋은 걸 먹고 싶었어 쿠냥.
12	2	0	좋아하는 것을 안주는 건 싫어 쿠냥.
12	2	0	좋아하는 것을 좀더 많이 먹고 싶었어 쿠냥.
12	2	0	좋아하는 것을 많이 먹을 수 있는 곳을 찾아갈쿠냥.
12	2	0	어리광부리고 싶었어 쿠냥~
12	4	0	좋아하는 것이 부족해~
12	4	0	좋아하는 것을 더 먹고 싶었어~
12	4	0	식성 좀 맞춰줘~ !!
12	4	0	좋아하는 것을 더 먹고 싶었다구~
12	6	0	영양이 부족해.
12	6	0	양분이 부족해.
12	6	0	필수 영양분이 부족해.
12	6	0	알을 낳기에 양분이 부족해.
#에스케이프	（길몬 사이즈）		에스케이프 카운트（％에 의한 것）도망치고 싶어하는 상태를 표시
13	10	1	있기 편해 쿠냥
13	40	1	가끔 굶주려 쿠냥
13	60	1	자주 굶주려 쿠냥
13	80	1	배고픈 날이 많아서 도망치고 싶어 큐냥！
13	100	1	도망치고 싶어！밥을 안줄 때가 너무 많아！
13	10	2	있기 편해 쿠냥
13	40	2	가끔 굶주려 쿠냥
13	60	2	밥을 안줄 때가 많아. 도망치고 싶어.
13	80	2	정말 도망치고 싶어. 밥을 안 줄 때가 많아！
13	100	2	밥을 더 안주면 도망칠 거야~ 쿠냥！
13	10	4	릴랙스
13	40	4	가끔 배고파.
13	60	4	자주 배가 고파.
13	80	4	항상 배가 고파서 도망치고 싶어！
13	100	4	도망칠래！항상 배가 고파！
13	10	6	호감
13	40	6	불만
13	60	6	반감
13	80	6	혐오
13	100	6	절교
#도망치고 싶다	（길몬 사이즈）		성장 못하고 도망칠 것 같을 때 하는 대사　도망한계１０％전부터.
14	7	1	좋아하는 것을 못 먹으면 자라지 않아~쿠냥 ! 도망갈 거야！
14	7	1	좀더 좋아하는 것을 줘~！도망갈 거야~ 쿠냥！
14	7	1	이대로는 성장할 수 없다구~ 쿠냥！도망가고 싶어~！
14	7	1	성장하려면 좋아하는 것을 더 먹어야 해~！도망갈 거야~！
14	7	2	성장하기에 영양이 부족해~ 쿠냥！먹고 싶은 걸 줘~ 
14	7	2	영양이 부족해！도망갈 거야 쿠냥！
14	7	2	좋아하는 것을 더 안주면 도망갈 거야~ 쿠냥！
14	7	2	도망갈래 쿠냥！좋아하는 것을 안주면 도망갈 거야！
14	7	4	먹고 싶은 걸 안주면 성장할 수 없어！도망갈 거야！
14	7	4	성장하지 못하면 도망갈 거야！
14	7	4	성장하는 데는 좋아하는 것이 필요해！
14	7	4	좋아하는 것을 안 먹으면 탈주할거야！
14	7	6	알을 낳기 위해 먹어야 할 좋아하는 것이 부족해. 헤어지지 않으면 안되겠어.
14	7	6	좋아하는 것이 부족해서 알을 낳을 수 없어. 도망을 생각중이야.
14	7	6	알을 낳기 위해선 좋아하는 것을 더 먹어야 돼. 여행을 떠나야겠어.
14	7	6	좋아하는 것이 부족해. 헤어지지 않으면 안되겠어.
#영양이 부족하다	（길몬 사이즈）		성장 못하고 도망칠  것 같을 때 하는 대사　성장가능일수부터
15	7	1	좋아하는 것을 못 먹으면 영양이 좀 부족해.쿠냥~
15	7	1	좋아하는 것을 좀 더 먹고 싶어. 쿠냥
15	7	1	이대로는 성장할 수 없어. 쿠냥
15	7	1	쿠냥~ 성장하려면 좋아하는 것을 더 먹어야 해~
15	7	2	한참 성장 할 때인데 영양이 부족해.
15	7	2	영양이 부족해！
15	7	2	좀더 좋아하는 걸 먹고 싶어
15	7	2	좋아하는 것을 먹고 싶어~
15	7	4	먹고 싶은 걸 안주면 성장할 수 없어.
15	7	4	슬슬 때가 됐는데, 성장할 수 없어.
15	7	4	성장하기 위해선 좋아하는 것이 필요해！
15	7	4	좋아하는 것을 더 줘！
15	7	6	알을 낳기 위해서 먹어야 할 좋아하는 것이 부족해.
15	7	6	좋아하는 것이 부족해서 알을 낳을 수 없어.
15	7	6	알을 낳기 위해선 좋아하는 것을 더 먹어야 돼.
15	7	6	좋아하는 것이 부족해.

